# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:     8.767284667    8.767322770    9.063732849
    8.997995992    0.930567365    0.930592889    0.724654286
    9.018036072    0.944147183    0.944175252    0.812710517
    9.038076152    0.972960505    0.972989368    0.896323727
    9.058116232    1.007413794    1.007440083    0.959532520
    9.078156313    1.043485376    1.043504944    0.991937117
    9.098196393    1.072889959    1.072900451    0.995476751
    9.118236473    1.080147565    1.080150239    0.981317089
    9.138276553    1.055582364    1.055583391    0.974489780
    9.158316633    1.002899262    1.002906105    1.003894617
    9.178356713    0.936838678    0.936854665    1.081697877
    9.198396794    0.883367947    0.883394628    1.195286344
    9.218436874    0.855877618    0.855918636    1.317870799
    9.238476954    0.838234473    0.838287035    1.427906277
    9.258517034    0.812071955    0.812117782    1.523033275
    9.278557114    0.775136382    0.775159296    1.620468923
    9.298597194    0.733769436    0.733773957    1.731755764
    9.318637275    0.698536395    0.698534882    1.841077300
    9.338677355    0.677399200    0.677394298    1.924649146
    9.358717435    0.677115940    0.677103144    1.979739858
    9.378757515    0.702607326    0.702584844    2.018160390
    9.398797595    0.748302481    0.748271405    2.038462394
    9.418837675    0.800871178    0.800833676    2.019136827
    9.438877756    0.850472246    0.850435153    1.931457610
    9.458917836    0.897966061    0.897937562    1.774608325
    9.478957916    0.944410966    0.944392112    1.591506931
    9.498997996    0.981952352    0.981939393    1.421863329
    9.519038076    1.006582512    1.006574397    1.273598150
    9.539078156    1.023090693    1.023088181    1.133163367
    9.559118236    1.027120086    1.027120412    0.993086630
    9.579158317    1.000635637    1.000631446    0.875806285
    9.599198397    0.932777255    0.932760790    0.802757638
    9.619238477    0.845157287    0.845129275    0.772361019
    9.639278557    0.783691034    0.783660374    0.773885062
    9.659318637    0.775191312    0.775161679    0.795044738
    9.679358717    0.806165236    0.806132223    0.807198921
    9.699398798    0.845273540    0.845234478    0.778643676
    9.719438878    0.867216797    0.867176145    0.704617252
    9.739478958    0.856829626    0.856791204    0.593728812
    9.759519038    0.813111092    0.813075019    0.463434475
    9.779559118    0.764936579    0.764905367    0.349818112
    9.799599198    0.756159073    0.756135334    0.276441057
    9.819639279    0.800890152    0.800872859    0.231058541
    9.839679359    0.879197366    0.879184065    0.185964097
    9.859719439    0.964228892    0.964218221    0.142772037
    9.879759519    1.038968335    1.038960978    0.129420370
    9.899799599    1.098025565    1.098022759    0.143301284
    9.919839679    1.144918622    1.144919585    0.148945632
    9.939879760    1.192693366    1.192696612    0.126559983
    9.959919840    1.253220137    1.253227348    0.068301375
    9.979959920    1.321500282    1.321516791   -0.054674964
   10.000000000    1.382006843    1.382039441   -0.252362221
