# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    1.583166333    0.800494857    0.800495648    0.022700498
    1.603206413    0.964451286    0.964451461    0.023152220
    1.623246493    1.174730872    1.174730198    0.023612745
    1.643286573    1.418744878    1.418743206    0.024082416
    1.663326653    1.639093397    1.639090933    0.024561597
    1.683366733    1.740811371    1.740808905    0.025050672
    1.703406814    1.683298757    1.683297342    0.025550045
    1.723446894    1.536287072    1.536287373    0.026060142
    1.743486974    1.393814941    1.393817101    0.026581415
    1.763527054    1.303302566    1.303306498    0.027114340
    1.783567134    1.275350958    1.275356596    0.027659424
    1.803607214    1.309194383    1.309201782    0.028217203
    1.823647295    1.405816761    1.405826145    0.028788246
    1.843687375    1.572774884    1.572786684    0.029373161
    1.863727455    1.826265627    1.826280514    0.029972593
    1.883767535    2.191787709    2.191806569    0.030587230
    1.903807615    2.699866469    2.699890071    0.031217808
    1.923847695    3.364371283    3.364399064    0.031865114
    1.943887776    4.120735193    4.120762540    0.032529993
    1.963927856    4.738704329    4.738721003    0.033213351
    1.983967936    4.887656078    4.887654047    0.033916161
    2.004008016    4.480691147    4.480675953    0.034639476
    2.024048096    3.792178937    3.792163097    0.035384429
    2.044088176    3.122656642    3.122647690    0.036152251
    2.064128257    2.599801754    2.599801521    0.036944275
    2.084168337    2.233701845    2.233709947    0.037761952
    2.104208417    1.997945466    1.997961363    0.038606867
    2.124248497    1.865706077    1.865729795    0.039480753
    2.144288577    1.819353892    1.819386226    0.040385512
    2.164328657    1.851266996    1.851309572    0.041323243
    2.184368737    1.962198604    1.962253712    0.042296264
    2.204408818    2.156812471    2.156882035    0.043307153
    2.224448898    2.430524350    2.430606552    0.044358784
    2.244488978    2.740045273    2.740128359    0.045454381
    2.264529058    2.978836462    2.978898750    0.046597580
    2.284569138    3.040845951    3.040876296    0.047792507
    2.304609218    2.950316101    2.950328583    0.049043880
    2.324649299    2.835958159    2.835972934    0.050357129
    2.344689379    2.800582605    2.800609964    0.051738568
    2.364729459    2.888483195    2.888525795    0.053195608
    2.384769539    3.117055955    3.117114443    0.054737049
    2.404809619    3.497818364    3.497895256    0.056373472
    2.424849699    4.031821815    4.031925168    0.058117797
    2.444889780    4.687304533    4.687450071    0.059986052
    2.464929860    5.393482579    5.393687252    0.061998494
    2.484969940    6.073126730    6.073399773    0.064181228
    2.505010020    6.671727814    6.672078954    0.066568585
    2.525050100    7.222830355    7.223283653    0.069206530
    2.545090180    7.860419820    7.861012385    0.072157257
    2.565130261    8.633604106    8.634360790    0.075504157
    2.585170341    9.402241539    9.403125637    0.079352888
    2.605210421    9.947315995    9.948220112    0.083815386
    2.625250501   10.130147111   10.130979617    0.088955045
    2.645290581   10.019701904   10.020460195    0.094710067
    2.665330661    9.849580433    9.850309388    0.100910104
    2.685370741    9.878600051    9.879326675    0.107317293
    2.705410822   10.257361593   10.258068520    0.113437743
    2.725450902   10.900509196   10.901106988    0.118766000
    2.745490982   11.557684991   11.558064923    0.123697418
    2.765531062   12.128186419   12.128369630    0.129421161
    2.785571142   12.724206797   12.724327640    0.136766098
    2.805611222   13.309967021   13.310113297    0.145564841
    2.825651303   13.603894275   13.604055645    0.154913863
    2.845691383   13.451559954   13.451674548    0.164488412
    2.865731463   13.025014841   13.025023953    0.175573539
    2.885771543   12.533028622   12.532876126    0.190207929
    2.905811623   12.027691973   12.027352572    0.210214768
    2.925851703   11.519609591   11.519086976    0.237156485
    2.945891784   10.953185715   10.952429748    0.272165132
    2.965931864   10.198424070   10.197466490    0.315053294
    2.985971944    9.303834039    9.302866559    0.363816740
    3.006012024    8.486279801    8.485440269    0.415540249
    3.026052104    7.854119004    7.853414715    0.464226713
    3.046092184    7.332543540    7.331932820    0.498154287
    3.066132265    6.816405351    6.815855872    0.510715196
    3.086172345    6.292649597    6.292143907    0.508715588
    3.106212425    5.812308589    5.811844940    0.502686007
    3.126252505    5.431033320    5.430639726    0.502361376
    3.146292585    5.180456597    5.180151759    0.517730289
    3.166332665    5.042806473    5.042562936    0.556109914
    3.186372745    4.982249463    4.982033577    0.618993542
    3.206412826    4.983337488    4.983122096    0.700414483
    3.226452906    5.020426508    5.020199312    0.788710385
    3.246492986    5.039892024    5.039683436    0.869740916
    3.266533066    4.981789848    4.981641110    0.923968770
    3.286573146    4.835650198    4.835567919    0.932543941
    3.306613226    4.652685262    4.652629835    0.901296500
    3.326653307    4.498516876    4.498448879    0.862153095
    3.346693387    4.428888232    4.428818799    0.841868069
    3.366733467    4.470249299    4.470220150    0.850075481
    3.386773547    4.628455224    4.628490905    0.887927113
    3.406813627    4.921038220    4.921123354    0.948735376
    3.426853707    5.346053505    5.346143113    1.015744522
    3.446893788    5.798953697    5.798981885    1.072214525
    3.466933868    6.073872203    6.073767503    1.116707515
    3.486973948    6.044318437    6.044069701    1.160196001
    3.507014028    5.826576969    5.826261489    1.206947294
    3.527054108    5.660491428    5.660181919    1.246714887
    3.547094188    5.677366520    5.677055630    1.270833012
    3.567134269    5.827048072    5.826665532    1.280954858
    3.587174349    5.954126813    5.953650052    1.283218551
